Date,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment
1997-05-31,103.2,73.45813,19.19,0.11242493583609475
1997-06-30,104.5,78.48298,21.53,0.28474374802523916
1997-07-31,107.1,73.89487,21.48,0.3129094450804217
1997-08-31,104.4,63.80988,24.76,0.32406771470789125
1997-09-30,106.0,61.15956,22.91,0.26069882656093923
1997-10-31,105.6,83.65215,35.09,0.9585183145011462
1997-11-30,107.2,78.39389,27.43,0.6150738145482125
1997-12-31,102.1,88.74448,24.01,0.4109444568842953
1998-01-31,106.6,91.04062,21.47,0.42156600111020476
1998-02-28,110.4,88.81944,18.55,0.36622418265310336
1998-03-31,106.5,78.38832,24.22,0.4535579585328901
1998-04-30,108.7,73.20014,21.18,0.3331645783375301
1998-05-31,106.5,75.8551,21.32,0.30505648614174735
1998-06-30,105.6,76.28635,19.71,0.21384656869930585
1998-07-31,105.2,88.17701,24.8,0.5174434994995812
1998-08-31,104.4,101.40807,44.28,1.468870664608809
1998-09-30,100.9,123.96147,40.95,1.3937242839009751
1998-10-31,97.4,109.88134,28.05,0.6286717647797198
1998-11-30,102.7,92.94632,26.01,0.5452140887787853
1998-12-31,100.5,91.40618,24.42,0.4095462839544548
1999-01-31,103.9,98.64504,26.25,0.6253095853181949
1999-02-28,108.1,82.38359,27.88,0.6852945140825882
1999-03-31,105.7,66.00054,23.26,0.30342667138035406
1999-04-30,104.6,67.53295,25.07,0.36917854781345244
1999-05-31,106.8,67.08854,25.39,0.433626866361945
1999-06-30,107.3,73.01111,21.09,0.29393426830454933
1999-07-31,106.0,79.81311,24.64,0.4704566556015064
1999-08-31,104.5,69.55318,24.45,0.3531206628782031
1999-09-30,107.2,69.81624,25.41,0.46347691707722705
1999-10-31,103.2,62.71155,22.2,0.1720130905947456
1999-11-30,107.2,82.06383,24.18,0.49465721690729975
1999-12-31,105.4,83.80947,24.64,0.48420115686177434
2000-01-31,112.0,89.20154,24.95,0.6958117862139407
2000-02-29,111.3,77.60139,23.37,0.5257445609321048
2000-03-31,107.1,77.54831,24.11,0.45717017502122226
2000-04-30,109.2,76.05923,26.2,0.5915255036219613
2000-05-31,110.7,97.9862,23.65,0.6679384277390592
2000-06-30,106.4,92.96502,19.54,0.34342031133633194
2000-07-31,108.3,79.44697,20.74,0.34783624669443464
2000-08-31,107.3,66.58133,16.84,0.05709581817875788
2000-09-30,106.8,75.14165,20.57,0.27349048248273533
2000-10-31,105.8,84.66172,23.63,0.45441080038408216
2000-11-30,107.6,125.06753,29.65,1.054623941831331
2000-12-31,98.4,115.26872,26.85,0.6368846286413405
2001-01-31,94.7,111.41604,22.02,0.3027055606767239
2001-02-28,90.6,110.91785,28.35,0.485136577989409
2001-03-31,91.5,116.02693,28.64,0.5560642260491039
2001-04-30,88.4,122.6734,25.48,0.3858058143590512
2001-05-31,92.0,100.42901,22.64,0.18770010815557595
2001-06-30,92.6,86.39027,19.06,-0.05824604672694128
2001-07-31,92.4,102.13185,21.62,0.1634717326724713
2001-08-31,91.5,84.28912,24.92,0.16420596435774756
2001-09-30,81.8,188.05949,31.93,0.9789065560765217
2001-10-31,82.7,173.14334,33.56,0.9686320576264551
2001-11-30,83.9,130.57563,23.84,0.25903255416699394
2001-12-31,88.8,117.23658,23.8,0.281389691375265
2002-01-31,93.0,116.83745,21.09,0.2580526939371763
2002-02-28,90.7,87.60069,21.59,0.01831579568093335
2002-03-31,95.7,83.44043,17.4,-0.07891736468875227
2002-04-30,93.0,88.5661,21.91,0.09514651542201312
2002-05-31,96.9,86.29886,19.98,0.08647901100580206
2002-06-30,92.4,93.61022,25.4,0.273462124333746
