date,Market,Mkt_GSPC_idx,Mkt_IXIC_idx,Mkt_NDX_idx,Mkt_QQQ_idx,Mkt_ARKK_idx
2000-06-30,1790.8789331000762,1274.1765319938675,2452.0000664122877,3259.256953283173,178.08218071097724,
2000-07-31,1719.5573865308784,1253.354861733936,2328.896439093895,3125.5195641969467,170.45868109873567,
2000-08-31,1913.6592712975696,1329.432380015478,2600.5255626931994,3530.992353097988,193.68678938361242,
2000-09-30,1697.5320978374511,1258.330381643474,2270.677012896059,3091.9726390945675,169.14835771570452,
2000-10-31,1583.3409330344173,1252.1022937637588,2083.2333124034003,2842.310316430252,155.71780954025806,
2000-11-30,1262.1423323987951,1151.848203389921,1606.1390612925038,2170.5403240378446,120.04174087491121,
2000-12-31,1205.7350602051351,1156.517157449152,1527.3694092928902,2027.7969198996182,111.25675417888021,
2001-01-31,1319.6854205901495,1196.5749526504392,1714.2070976622877,2245.410395413114,122.54923663475736,
2001-02-28,1039.8578265427343,1086.1421703140643,1330.3431704018546,1652.5111628120542,90.43480264296404,
2001-03-31,897.7745992785052,1016.4067263776818,1137.7187077376352,1362.3570785127968,74.61588448590697,
2001-04-30,1024.3117939231263,1094.4813602456163,1308.3400248744204,1606.4686270228417,87.95716354962667,
2001-05-31,1012.1761476641974,1100.0524754764695,1304.78515625,1558.6161779760369,85.25078095428371,
2001-06-30,1020.0485401511919,1072.5122333621596,1335.7279994204018,1584.8544234531862,87.0995043690198,
2001-07-31,962.938946597582,1060.9932915329496,1253.2488438224498,1457.9233948822673,79.59025615266118,
2001-08-31,862.9152589836899,992.9747019016011,1116.1855046126352,1272.6878320476183,69.81299737290564,
2001-09-30,726.3561119902821,911.8254274826608,926.6151770189335,1011.7509189066342,55.23292455290007,
2001-10-31,804.9291977312496,928.3286574110583,1044.9458739857032,1181.8323429369138,64.60991659132293,
2001-11-30,912.3360392300424,998.1166035561959,1193.5579326458655,1382.100798780671,75.56882193743716,
2001-12-31,912.8234542656406,1005.6761731129345,1205.811452497102,1365.6477337930703,74.1584576594557,
2002-01-31,900.3679765732911,990.013940886897,1195.690899101623,1342.3709723612835,73.39609394336071,
2002-02-28,820.3317175980733,969.4551024581673,1070.4729460490728,1177.0176058117645,64.3812160732887,
2002-03-31,868.181494340229,1005.0718096019697,1140.8655181365918,1258.0620162464872,68.72663337586741,
2002-04-30,788.356125890205,943.3426851778834,1043.7279631955178,1105.8797273687344,60.474127818684664,
2002-05-31,759.3243836958021,934.7757361737278,998.9057066267388,1046.3629465661616,57.25314541658045,
2002-06-30,682.9678874064929,867.0462294779586,904.6120314914992,910.4693484723208,49.7439401841932,
2002-07-31,624.5784003038975,798.5458705970256,821.18084065881,833.1312327834044,45.45565717635026,
2002-08-31,619.0395969749399,802.4439190065212,812.8902476574575,816.0547085975041,44.76951263827621,
2002-09-30,549.7948039901663,714.1555738820224,724.6120918663061,720.9213676224441,39.49018258989259,
2002-10-31,625.4195420503138,775.8934664957583,822.1020092735703,856.8929245427929,46.78976788913368,
2002-11-30,688.4326387767987,820.1734123361477,914.2380397507727,966.4876542618538,52.83144875842088,
2002-12-31,623.8040038407745,770.6902409781878,825.6630663156878,852.4159737635516,46.44673430567089,
2003-01-31,616.0129614267296,749.5620048679492,816.6368062934698,851.2729123798946,46.58012216560469,
2003-02-28,621.5149976383617,736.8167461729392,826.9057307766616,874.3851410476676,47.952372556178545,
2003-03-31,625.5925910070658,742.9747420000294,829.1623146493432,882.1094072849882,48.12390009390278,
2003-04-30,679.6477677448152,803.1884666227367,905.2921536901081,957.7935802227706,52.3168704436453,
2003-05-31,731.2031184461099,844.0697231470849,986.6522622440108,1037.3138031057342,56.77668528760962,
2003-06-30,738.6472810037137,853.6264617547873,1003.2766917020865,1040.6043526791243,57.08161787885621,
2003-07-31,776.6263696097571,867.4754430542171,1072.655344377898,1105.7671495379122,60.60754146900129,
2003-08-31,806.8300103483529,882.9800082602762,1119.2889960877123,1161.4131556841069,63.637881361316126,
2003-09-30,791.9791973288167,872.4333731198849,1104.7542141615147,1128.9400011033156,61.7892009305514,
2003-10-31,852.1306964223566,920.3836082971668,1194.5656636398764,1226.5240504631447,67.04946328923836,
2003-11-30,859.9032211148293,926.944566596138,1211.907270334235,1233.3304109784526,67.4306365504916,
2003-12-31,888.3058931582289,974.0014087914467,1238.5595023908425,1271.146519980748,69.51614146987816,
2004-01-31,907.9535181307651,990.8286340203085,1277.3724280332303,1292.9337657185308,70.67924475099085,
2004-02-29,900.210026305525,1002.925634791535,1254.9118678757727,1273.2767250950453,69.72587745974701,
