date,Infra_Macro
2012-06-01,98.33333333333333
2012-07-01,94.16666666666667
2012-08-01,92.5
2012-09-01,95.83333333333334
2012-10-01,92.5
2012-11-01,90.83333333333333
2012-12-01,92.5
2013-01-01,59.166666666666664
2013-02-01,55.833333333333336
2013-03-01,55.833333333333336
2013-04-01,59.166666666666664
2013-05-01,63.33333333333333
2013-06-01,74.16666666666667
2013-07-01,83.33333333333334
2013-08-01,88.33333333333333
2013-09-01,98.33333333333333
2013-10-01,99.0
2013-11-01,99.0
2013-12-01,99.0
2014-01-01,99.0
2014-02-01,99.0
2014-03-01,99.0
2014-04-01,97.5
2014-05-01,96.66666666666667
2014-06-01,95.0
2014-07-01,94.16666666666667
2014-08-01,92.5
2014-09-01,90.0
2014-10-01,83.33333333333334
2014-11-01,75.83333333333333
