Date,Infra_Power_Grid,Infra_Construction,Infra_Materials,Infra_Supply,Infra
1970-05-31,41.29548269580412,5.589862707311337,,23.442672701557726,23.442672701557726
1970-06-30,41.47236082628825,5.589862707311337,,23.531111766799796,23.531111766799796
1970-07-31,42.79036522591214,5.704517781216847,,24.247441503564495,24.247441503564495
1970-08-31,43.85433571223227,5.704517781216847,,24.77942674672456,24.77942674672456
1970-09-30,43.38992075198455,5.704517781216847,,24.5472192666007,24.5472192666007
1970-10-31,41.56825485683084,5.997349044245986,,23.782801950538413,23.782801950538413
1970-11-30,41.85342237267774,5.997349044245986,,23.925385708461864,23.925385708461864
1970-12-31,42.40267182601346,5.997349044245986,,24.200010435129723,24.200010435129723
1971-01-31,44.33401166878937,6.332176090130354,,25.333093879459863,25.333093879459863
1971-02-28,43.91435914916601,6.332176090130354,,25.123267619648182,25.123267619648182
1971-03-31,43.31395549382107,6.332176090130354,,24.82306579197571,24.82306579197571
1971-04-30,42.73760234769644,6.84535928594048,,24.79148081681846,24.79148081681846
1971-05-31,42.641825152639214,6.84535928594048,,24.743592219289848,24.743592219289848
1971-06-30,44.15111351710682,6.84535928594048,,25.498236401523652,25.498236401523652
1971-07-31,44.84512556586271,7.156385825372012,,26.00075569561736,26.00075569561736
1971-08-31,45.10494354420229,7.156385825372012,,26.130664684787153,26.130664684787153
1971-09-30,44.940932348086136,7.156385825372012,,26.048659086729074,26.048659086729074
1971-10-31,44.50809550710961,7.474437091927031,,25.99126629951832,25.99126629951832
1971-11-30,44.20680432149956,7.474437091927031,,25.840620706713295,25.840620706713295
1971-12-31,44.86015447036699,7.474437091927031,,26.16729578114701,26.16729578114701
1972-01-31,46.856524631226335,7.977443667487499,,27.416984149356917,27.416984149356917
1972-02-29,48.508528996072656,7.977443667487499,,28.242986331780077,28.242986331780077
1972-03-31,47.55427281638305,7.977443667487499,,27.765858241935273,27.765858241935273
1972-04-30,45.8618206729076,8.169858213099307,,27.01583944300345,27.01583944300345
1972-05-31,44.38476352301501,8.169858213099307,,26.277310868057157,26.277310868057157
1972-06-30,45.063849542975376,8.169858213099307,,26.61685387803734,26.61685387803734
1972-07-31,45.59661497899121,8.345373039707003,,26.970994009349106,26.970994009349106
1972-08-31,47.3554164993419,8.345373039707003,,27.85039476952445,27.85039476952445
1972-09-30,47.074637273227594,8.345373039707003,,27.710005156467297,27.710005156467297
1972-10-31,46.29913100356973,8.87021083130936,,27.584670917439542,27.584670917439542
1972-11-30,47.909112707145404,8.87021083130936,,28.38966176922738,28.38966176922738
1972-12-31,50.357921390939815,8.87021083130936,,29.614066111124586,29.614066111124586
1973-01-31,52.39235613948943,9.301637922160658,,30.846997030825044,30.846997030825044
